Name,IATA,ICAO
Brockville Megabus Stop,\N,BRKM
Brockville VIA Station,\N,BRKV
Shaibah Airport,\N,OESB
Al Maktoum International Airport,DWC,OMDW
Aransas County Airport,RKP,KRKP
Bandanaira Airport,NDA,\N
Megève Airport,MVV,LFHM
Méribel Altiport,MFX,LFKX
Oldbury,\N,\N
Baise Youjiang Airport,AEB,ZGBS
Okaukuejo Airport,OKF,FYOO
Mokuti Lodge Airport,OKU,FYMO
Rotenburg (Wümme) Airport,\N,EDXQ
Wipperfürth-Neye Airport,\N,EDKN
Osnabrück-Atterheide Airport,\N,EDWO
Flugplatz Ballenstedt,\N,EDCB
Flugplatz Hartenholm,\N,EDHM
Ganderkesee Atlas Airfield,\N,EDWQ
Nienburg-Holzbalge Airport,\N,EDXI
Damme Airfield,\N,EDWC
Borkenberge Airport,\N,EDLB
Obermehler-Schlotheim Airport,\N,EDCO
Hodenhagen Airport,\N,EDVH
Grube Airport,\N,EDHB
Tønder Airport,\N,EKTD
Celle-Arloh Airport,\N,EDVC
Uelzen Airport,\N,EDVU
Hamm-Lippewiesen Airport,\N,EDLH
Lüsse Airport,\N,EDOJ
Porta Westfalica Airport,\N,EDVY
Brilon/Hochsauerlandkreis Airfield,\N,EDKO
Hameln-Pyrmont Airport,\N,EDVW
Nordholz-Spieka Airfield,\N,EDXN
Köthen Airport,KOQ,EDCK
St. Michaelisdonn Airport,\N,EDXM
Salzgitter-Drütte Airport,\N,EDVS
Karlshöfen Airport,\N,EDWK
Oldenburg-Hatten Airfield,\N,EDWH
Rinteln Airport,\N,EDVR
Münster-Telgte Airport,\N,EDLT
St. Peter-Ording Airport,PSH,EDXO
Lüchow-Rehbeck Airport,\N,EDHC
Klietz/Scharlibbe Airport,\N,EDCL
Burg Airport,\N,EDBG
Crisp County Cordele Airport,\N,KCKF
Ormond Beach Municipal Airport,\N,KOMN
Bad Neuenahr-Ahrweiler Airfield,\N,EDRA
Bad Dürkheim Airport,\N,EDRF
Portland Troutdale Airport,TTD,KTTD
Portland Hillsboro Airport,HIO,KHIO
One Police Plaza Heliport,\N,NK39
Leverkusen Airport,\N,EDKL
Suwannee County Airport,24J,\N
Wershofen/Eifel Airfield,\N,EDRV
Khost Airport,KHT,OAKS
TCO,\N,\N
TCO,\N,\N
Namtu Airport,NMT,VYNT
Nguma Island Lodge Airstrip,\N,\N
Maramba Aerodrome,\N,\N
Bend Municipal Airport,\N,KBDN
Christmas Valley Airport,\N,K62S
Burns Municipal Airport,BNO,KBNO
Prineville Airport,PRZ,KS39
Red Bluff Municipal Airport,RBL,KRBL
Marin County Airport - Gnoss Field,NOT,KDVO
Lake County Airport,LKV,KLKV
Tillamook Airport,OTK,KTMK
Ontario Municipal Airport,ONO,KONO
Columbia Gorge Regional the Dalles Municipal Airport,DLS,KDLS
Montgomery County Airpark,GAI,KGAI
Cincinnati Union Terminal,\N,\N
FOB Sharana,\N,\N
Sharana Airstrip,OAS,OASA
Pembroke Airport,YTA,CYTA
Tsumeb Airport,TSB,FYTM
Suffield Heliport,YSD,CYSD
Field 21,\N,\N
Field 21,\N,\N
Blumenau Airport,BNU,SSBL
Aeroclub Mures,\N,LRMS
Aeroclub Sibiu,\N,\N
Aeroclub Sibiu,SIB,\N
Bolshoye Gryzlovo Airfield,\N,UUDG
Aerodrom Cioca,\N,\N
Aeroclub Cioca,\N,LRT2
Crocodile Camp Air Strip,\N,\N
Crocodile Camp Air Strip,\N,\N
Cleveland Clinic,\N,CCLN
Charlevoix Municipal Airport,\N,KCVX
Quincy Municipal Airport,2J9,\N
Pferdsfeld,\N,ETSP
Mykines Heliport,\N,EKMS
V-A Waterfront,\N,\N
Steenberg Helipad,\N,\N
Steenberg Helipad,\N,\N
Moultrie Municipal Airport,MGR,\N
Roche Harbor Seaplane Base,RCE,\N
Blakely Island Airport,BYW,\N
Rosario Seaplane Base,RSJ,\N
Westsound Seaplane Base,WSX,\N
Friday Harbor Seaplane Base,FBS,\N
Big Bay Water Aerodrome,YRR,\N
Furnace Creek,L06,\N
Cornwall Regional Airport,YCC,CYCC
Seppe Airfield,\N,EHSE
St Stephan Airport,\N,LSTS
Zona da Mata Regional Airport,IZA,SDZY
IAR Gimbav Heliport,\N,LRBG
Flagler Executive Airport,\N,KXFL
Aeroclub Deva,DVA,\N
Aeroclub Cluj,DZM,\N
Antarctica,\N,\N
Antarctica,\N,\N
Morrisville Stowe State Airport,MVL,KMVL
Dallas Executive Airport,RBD,KRBD
Como (Idroscalo - Water Ad) Hidroport,\N,LILY
Superficie Cielo Blu,\N,\N
Welke Airport,6Y8,\N
Krainiy Airport,BXY,UAOL
MOW,MOW,\N
Westerly State Airport,WST,KWST
Block Island State Airport,BID,KBID
Atmautluak Airport,\N,\N
Atmautluak Airport,\N,\N
Atmautluak Airport,369,\N
Nightmute Airport,NME,PAGT
Toksook Bay Airport,OOK,PAOO
Tununak Airport,TNK,\N
Goodnews Airport,GNU,\N
Newtok Airport,WWT,\N
Achutupo Airport,ACU,\N
Tubuala Airport,TUW,\N
Garachine Airport,GHE,\N
Mulatupo Airport,MPP,\N
Ittoqqortoormiit Heliport,OBY,BGSC
Vinnytsia/Gavyryshivka Airport,VIN,UKWW
Gent Sint-Pieters,\N,\N
Brugge,\N,\N
Brugge,\N,\N
Shin-yokohama-eki,\N,\N
Angers St Laud,QXG,\N
Decatur County Industrial Air Park,BGE,KBGE
La Romaine Airport,ZGS,CTT5
Kegaska Airport,ZKG,CTK6
Black Tickle Airport,YBI,CCE4
Silver Springs Airport,\N,KSPZ
Whiteman Airport,WHP,KWHP
Madera Municipal Airport,MAE,KMAE
Mountain Home Municipal Airport,U76,\N
Trail Airport,YZZ,CAD4
Victoria Airport,\N,CAP5
Old Arctic Bay Airport,YAB,CJX7
Hope Bay Aerodrome,\N,CHB3
Birchwood Airport,\N,PABV
Grand-Santi Airport,GSI,SOGS
Maripasoula Airport,MPY,SOOA
Saint-Laurent-du-Maroni Airport,LDX,SOOM
Cayana Airstrip,AAJ,\N
Laduani Airstrip,LDO,\N
Kanas Airport,KJI,ZWKN
Capurganá Airport,CPB,SKCA
Sohag International Airport,HMB,HEMK
Presidente General Don Oscar D. Gestido International Airport,RVY,SURV
Patos de Minas Airport,POJ,SNPD
Bauru - Arealva Airport,JTC,SJTC
Ourilândia do Norte Airport,OIA,SDOW
Redenção Airport,RDC,SNDC
São Félix do Xingu Airport,SXX,SNFX
Bonito Airport,BYO,SJDB
São Félix do Araguaia Airport,SXO,SWFX
Caçador Airport,CFC,SBCD
Carauari Airport,CAF,SWCA
Urucu Airport,\N,SWUY
Eirunepé Airport,ERN,SWEI
Concórdia Airport,CCI,SSCK
Francisco Beltrão Airport,FBE,SSFB
Confresa Airport,CFO,SJHG
Jackson County Airport,19A,\N
Apalachicola Regional Airport,AAF,KAAF
Umuarama Airport,UMU,SSUM
Diamantina Airport,DTI,SNDT
Fonte Boa Airport,FBA,SWOB
Senadora Eunice Micheles Airport,OLC,SDCG
Humaitá Airport,HUW,SWHT
Tapuruquara Airport,IRZ,SWTP
Oriximiná Airport,ORX,SNOX
Hotel Transamérica Airport,UNA,SBTC
Algeciras Heliport,\N,\N
Algeciras Heliport,\N,\N
Kai Tak International Airport ,\N,\N
Kai Tak International Airport ,\N,\N
Telfer Airport,TEF,YTEF
Gazipaşa Airport,GZP,LTGP
Shank Air Base,OAA,OASH
St. Augustine Airport,SGJ,\N
Londolozi,LDZ,\N
Singita Sabi Sands,\N,\N
Singita Sabi Sands,\N,\N
Singita Sabi Sands,INY,\N
Douglas Municipal Airport,\N,KDQH
St Lucie County International Airport,FPR,KFPR
Taunton Municipal King Field,\N,KTAN
Plymouth Municipal Airport,PYM,KPYM
Quonset State Airport,NCO,KOQU
Mansfield Municipal,1B9,\N
Norwood Memorial Airport,OWD,KOWD
Westfield-Barnes Regional Airport,BAF,KBAF
Windham Airport,\N,KIJD
Orange County Airport,MGJ,KMGJ
Capital City Airport,HAR,KCXY
Marshfield Municipal George Harlow Field,\N,KGHG
Danbury Municipal Airport,DXR,KDXR
Boire Field,ASH,KASH
Lawrence Municipal Airport,LWM,KLWM
Waterbury Oxford Airport,OXC,KOXC
Fitchburg Municipal Airport,\N,KFIT
Earl L. Small Jr. Field/Stockmar Airport,\N,20GA
Cartersville Airport,\N,KVPC
Centre-Piedmont-Cherokee County Regional Airport,\N,KPYP
Richard B Russell Airport,RMG,KRMG
Northeast Alabama Regional Airport,GAD,KGAD
Knoxville Downtown Island Airport,\N,KDKX
Barrow County Airport,WDR,KWDR
Plantation Airpark,\N,KJYL
Dalton Municipal Airport,DNN,KDNN
West Georgia Regional O V Gray Field,\N,KCTJ
Isbell Field Airport,4A9,\N
LaGrange Callaway Airport,LGC,KLGC
Baldwin County Regional Airport,\N,KMLJ
Polk County Airport - Cornelius Moore Field,4A4,\N
Harris County Airport,PIM,KPIM
Peachtree City Falcon Field,\N,KFFC
Covington Municipal Airport,9A1,\N
Lee Gilmer Memorial Airport,GVL,KGVL
Cherokee County Airport,\N,KCNI
DeFuniak Springs Airport,54J,\N
Barwick Lafayette Airport,9A5,\N
Harry Clever Field,PHD,KPHD
Darlington County Airport,\N,KUDG
Hilton Head Airport,HHH,KHXD
Gilmer County Airport,49A,\N
Elizabethton Municipal Airport,0A9,\N
Moton Field Municipal Airport,06A,\N
Daniel Field,DNL,KDNL
Foothills Regional Airport,MRN,KMRN
Pike County-Hatcher Field,PVL,KPBX
Mallards Landing Airport,\N,GA04
Toccoa Airport - R.G. Letourneau Field,TOC,KTOC
Compton Abbas Aerodrome,\N,EGHA
SCC4,\N,\N
SCC4,\N,\N
SCC4,\N,\N
SCC4,\N,\N
Suprunovka Airport,PLV,UKHP
Ferry Port,\N,\N
Ferry Port,\N,\N
Aweil Airport,\N,HSAW
Wau Airport,WUU,HSWW
Humera Airport,HUE,HAHU
Moyale Airport,OYL,HKMY
Zagora Airport,OZG,GMAZ
Yengema Airport,WYE,GFYE
Gbangbatok Airport,GBK,GFGK
Hong Kong China Ferry Terminal,\N,\N
Tampa Executive Airport,VDF,\N
Turukhansk Airport,THX,UOTT
Podkamennaya Tunguska Airport,TGP,UNIP
Fort Worth Alliance Airport,AFW,KAFW
East Troy Municipal Airport,\N,K57C
Kolpashevo Airport,\N,UNLL
Montgomery Field,MYF,
Gimpo International Airpot,SEL,\N
Ali Al Salem Air Base,\N,OKAS
Renmark Airport,RMK,YREN
Leigh Creek Airport,LGH,YLEC
Warburton Airport,\N,YWBR
Cunderdin Airport,\N,YCUN
Rottnest Island Airport,RTS,YRTI
Forrest Airport,FOS,YFRT
Ballarat Airport,\N,YBLT
Keewaywin Airport,KEW,CPV8
Marathon Airport,YSP,CYSP
Hearst René Fontaine Municipal Airport,YHF,CYHF
Hornepayne Municipal Airport,YHN,CYHN
Kirkland Lake Airport,YKX,CYKX
Manitouwadge Airport,YMG,CYMG
Wawa Airport,YXZ,CYXZ
Manitoulin East Municipal Airport,YEM,CYEM
Slate Falls Airport,\N,CKD9
Collingwood Airport,\N,CNY3
Brantford Municipal Airport,\N,CYFD
Lawrence Municipal Airport,LWC,KLWC
Wellington Municipal Airport,\N,KEGT
Isla San Jose,\N,\N
Griffin-Spalding County Airport,6A2,\N
Dieu Merci,\N,\N
DEGRA,\N,\N
Herapel,\N,\N
Degrad des Cannes,\N,\N
Elysee,\N,\N
Citron,\N,\N
Yaou,\N,\N
Helicojyp,\N,\N
Nicosia International Airport,NIC,\N
Pompano Beach Airpark,PPM,KPMP
Mallacoota Airport,XMC,YMCO
Majeed Bin Abdulaziz Airport,ULH,OEAO
Pogapa Airstrip,\N,\N
Pogapa Airstrip,\N,\N
Greyhound Station,\N,DCBS
Roma Street Railway Station,\N,\N
Roma Street Railway Station,\N,\N
Rockhampton Railway Station,\N,\N
Sydney Terminal Railway Station,\N,\N
Melbourne Southern Cross Railway Station,\N,\N
Nambour Railway Station,\N,\N
Bundaberg Railway Station,\N,\N
Hung Hom Railway Station,\N,\N
Hong Kong Railway Station,\N,\N
Shelby County Airport,\N,KEET
Yuendumu Airport,YUE,YYND
Gare de Strasbourg,XWG,\N
Sky Ranch At Carefree Airport,\N,18AZ
St Peter and St Paul Fortress,\N,\N
Guangzhou South Railway Station,GZS,\N
Oddballs Camp Private Airstrip,\N,\N
Lombok International Airport,LOP,WADL
Marmul,OMM,OONR
One Hundred Mile House Airport,\N,CAV3
South Cariboo Region / 108 Mile Airport,ZMH,CZML
Glasgow City Heliport,\N,EGEG
Yarram Airport,\N,YYRM
Handan Airport,HDG,ZBHD
Jade Mountain Helipad,\N,\N
Indianapolis Metropolitan Airport,\N,KUMP
London-Corbin Airport/Magee Field,LOZ,KLOZ
Camden Station,\N,\N
Simmons Army Air Field,FBG,KFBG
Pamalican Airstrip,\N,\N
Modlin Airport,WMI,EPMO
Buffalo Bus Terminal,\N,BBUF
Twelve Apostles Heliport,\N,\N
Jixi Xingkaihu Airport,JXA,ZYJX
King St Station,\N,SEAT
Jeongseok Airport,JDG,RKPD
Berlin Brandenburg Willy Brandt,BER,\N
Taoyuan Station,\N,\N
Palatka Amtrak Station,\N,\N
Gimli Industrial Park Airport,YGM,CYGM
Matheson Island Airport,\N,\N
Matheson Island Airport,\N,\N
Matheson Island Airport,\N,CJT2
Tura Mountain Airport,\N,UNIT
Beloyarskiy Airport,EYK,USHY
Ypenburg,\N,EHYB
John H Batten Airport,RAC,KRAC
Cesar Lim Rodriguez Airport,RZP,RPSD
Gera-Leumnitz Airfield,\N,EDAJ
Gera Leumnitz,\N,\N
Mira Flores,\N,\N
Kasimovo Airfield,\N,XLLN
Otaru,QOT,\N
Noboribetsu,\N,\N
Terlet Glider Field,\N,EHTL
Schaffen Diest,\N,\N
Blomberg 3GGW,\N,\N
Buckeburg,\N,\N
Shigatse Air Base,RKZ,ZURK
Redlands Municipal Airport,\N,KREI
Chemehuevi Valley,49X,\N
Flabob Airport,\N,KRIR
Tacoma Narrows Airport,TIW,KTIW
Tampa North Aero Park,X39,\N
Athuruga,\N,\N
Athuruga,\N,\N
Athuruga,\N,\N
STROE KAZERNE,\N,\N
\'t Harde,\N,\N
WERL KAZERNE,\N,\N
SZEGED,\N,\N
LAKE WANNSEE,\N,\N
Tenkiller Lake Airpark,\N,\N
HOEVENEN,\N,\N
GRAS,\N,\N
Oerlinghausen Airport,\N,EDLO
Jack Edwards Airport,GUF,KJKA
General Villamil Airport,IBB,SEII
Balzers Heliport,\N,LSXB
Vieste Heliport,VIF,\N
Alpha,\N,\N
Gogld,\N,\N
HIBER,\N,\N
Flugplatz Punitz,\N,LOGG
Khmelnytskyi Airport,HMJ,UKLH
Hiroshimanishi Airport,HIW,RJBH
Annapolis,\N,ANNA
High River Regional Airport,\N,\N
Yalata Mission Airport,KYI,YYTA
Hazleton Municipal Airport,HZL,KHZL
Greater Cumberland Regional Airport,CBE,KCBE
Sugar Loaf Shores Airport,\N,7FA1
Wyndham Airport,WYN,YWYM
Bob Quinn Lake Airport,YBO,CBW4
Songo Songo,\N,\N
Jongomero Camp,\N,\N
Msembe Airport,\N,HTMR
Fox Glacier Airstrip,FGL,\N
Grabtsevo Airport,KLF,UUBC
Reykjahlid,\N,\N
Central Station,XEV,\N
Central Station,QYX,\N
Centraal,QRH,\N
Holesovice,XYJ,\N
Hauptbahnhof,\N,\N
Central,ZGH,\N
Hauptbahnhof,ZSB,\N
Centraal,ZWE,\N
Ellisras,ELL,FAEA
Tri-County Regional Airport,LNR,KLNR
Price County Airport,\N,KPBH
Monroe Municipal Airport,\N,KEFT
Joliet Regional Airport,JOT,KJOT
Illinois Valley Regional Airport-Walter A Duncan Field,VYS,KVYS
Dirk Hartog Island,\N,YDHD
Jackson County Reynolds Field,JXN,KJXN
Fuerstenwalde Airport,\N,EDAL
Eberswalde-Finow Airport,\N,EDAV
Joseph A. Hardy Connellsville Airport,\N,KVVS
Bedford County Airport,\N,KHMZ
Wings Field,BBX,KLOM
Okeechobee County Airport,OBE,KOBE
Sebring Regional Airport,SEF,KSEF
Avon Park Executive Airport,AVO,KAVO
Winter Haven Regional Airport - Gilbert Field,GIF,KGIF
Zephyrhills Municipal Airport,ZPH,KZPH
Ocala International Airport - Jim Taylor Field,OCF,KOCF
Jesup Wayne County Airport,\N,KJES
Madison Municipal Airport,\N,K52A
Newnan Coweta County Airport,\N,KCCO
Thomson-McDuffie County Airport,\N,KHQU
Aiken Regional Airport,AIK,KAIK
Woodward Field,CDN,KCDN
Lumberton Regional Airport,LBT,KLBT
Ridgeland Airport,3J1,\N
Moore County Airport,SOP,KSOP
Richmond County Airport,\N,KRCZ
Bamberg County Airport,99N,\N
Richland Airport,93C,\N
Municipal Airport,Y51,\N
Baraboo Wisconsin Dells Airport,\N,KDLL
Foster Field,7A4,\N
Statesville Regional Airport,SVH,KSVH
Sylvania Airport,C89,\N
Burlington Municipal Airport,\N,KBUU
Stroudsburg-Pocono Airport,N53,\N
Spring Hill Airport,70N,\N
Randall Airport,06N,\N
William T. Piper Memorial Airport,LHV,KLHV
Grove City Airport,29D,\N
Lansdowne Airport,04G,\N
Wadsworth Municipal,3G3,\N
Ashland County Airport,3G4,\N
Pittsburgh-Monroeville Airport,4G0,\N
Zelienople Municipal Airport,\N,KPJC
Somerset County Airport,2G9,\N
Youngstown Elser Metro Airport,4G4,\N
Braceville Airport,41N,\N
Lorain County Regional Airport,\N,KLPR
Germack Airport,7D9,\N
Burke Lakefront Airport,BKL,KBKL
Chautauqua County-Dunkirk Airport,DKK,KDKK
Hamburg Inc Airport,4G2,\N
Trenton-Robbinsville Airport,N87,\N
South Jersey Regional Airport,LLY,KVAY
Spitfire Aerodrome,7N7,\N
Linden Airport,LDJ,KLDJ
Morgantown Airport,O03,\N
Harford County Airport,0W3,\N
Tri State Steuben County Airport,ANQ,KANQ
Plymouth Municipal Airport,C65,\N
Warsaw Municipal Airport,\N,KASW
Van Wert County Airport,\N,KVNW
Port Bucyrus-Crawford County Airport,17G,\N
Lake Wales Municipal Airport,X07,\N
Brooks Field,\N,KRMY
Genesee County Airport,\N,KGVQ
Finger Lakes Regional Airport,0G7,\N
Stormville Airport,N69,\N
Robertson Field,4B8,\N
Williams County Airport,0G6,\N
Clearwater Air Park,CLW,KCLW
South Lakeland Airport,X49,\N
Scatsta Airport,\N,\N
North Sea,\N,\N
North Sea,\N,\N
North Sea,\N,CLAA
North Sea,\N,ANAS
North Sea,\N,BRU1
North Sea,\N,BUCA
North Sea,\N,BUZZ
North Sea,\N,CLY1
North Sea,\N,COA1
Orlampa Inc Airport,\N,FA08
North Sea,\N,FC08
North Sea,\N,FUA1
North Sea,\N,GAA1
North Sea,\N,MOA1
North Sea,\N,TEA1
Atlantic Ocean,\N,XKSO
Zoo,QWC,\N
Frankfurt Oder Hbf,ZFR,\N
Gare de Lyon,PLY,\N
Gare de LEst,XHP,\N
All Airports,PAR,\N
Ostbahnhof,BHF,\N
All Airports,LON,\N
All Airports,NYC,\N
All Airports,CHI,\N
Chicago Meigs Airport,CGX,KCGX
All Airports,TYO,\N
All Airports,BJS,\N
All Airports,MIL,\N
All Airports,WAS,\N
All Airports,YMQ,\N
All Airports,YTO,\N
Longhua Airport,\N,ZSSL
Pickens County Airport,\N,KJZP
Gesundbrunnen,BGS,\N
Saarmund Airport,\N,EDCS
Grand Strand Airport,CRE,KCRE
Sun Moon Lake Airport,\N,\N
Lansing Municipal Airport,\N,KIGQ
Bloyer Field,Y72,\N
Ramona Airport,\N,KRNM
Pont Sur Yonne Airfield,\N,LFGO
St Florentin Cheu Airfield,\N,LFGP
Saulieu Liernais Airfield,\N,LFEW
Olten Airport,\N,LSPO
Buochs Airport,BXO,LSZC
Ambri Airport,\N,LSPM
Lodrino Air Base,\N,LSML
Roudnice Airport,\N,LKRO
Usti Nad Labem Airfield,\N,LKUL
Mauterndorf Airport,\N,LOSM
Nötsch Im Gailtal Airport,\N,LOKN
Sinsheim Airfield,\N,EDTK
Weinheim/Bergstraße Airport,\N,EDGZ
Meaux Esbly Airport,\N,LFPE
Château-Thierry - Belleau Airfield,\N,LFFH
Branch County Memorial Airport,\N,KOEB
Wilkes Barre Wyoming Valley Airport,WBW,KWBW
Willoughby Lost Nation Municipal Airport,LNN,KLNN
Taoyuan Air Base,\N,RCGM
Uummannaq Heliport,UMD,BGUM
Civitavecchia,\N,\N
Bayannur Tianjitai Airport,RLK,ZBYZ
Capital City Airport,FFT,KFFT
Auburn Lewiston Municipal Airport,LEW,KLEW
Inowroclaw Military Air Base,\N,EPIR
Pruszcz Gdanski Air Base,\N,EPPR
Florence,6S2,\N
Martin Campbell Field Airport,1A3,\N
Sudkreuz,\N,BPAP
Naval Air Station,NBU,KNBU
Bloyer Field,\N,KY72
Yongning Air Base,\N,CN-0
Marco Island Executive Airport,MRK,KMKY
Boipeba,\N,\N
Boipeba,\N,\N
Drummond Island Airport,DRE,KDRM
Garland Airport,8M8,\N
Gladwin Zettel Memorial Airport,GDW,KGDW
Lowell City Airport,24C,\N
South Haven Area Regional Airport,\N,KLWA
Schaumburg Regional,06C,\N
Khulna Seaplane Landing Site,\N,\N
Khulna Seaplane Landing Site,\N,\N
Khulna Seaplane Landing Site,\N,\N
Marshfield Municipal Airport,MFI,KMFI
Alexander Field South Wood County Airport,ISW,KISW
Clinton Municipal Airport,CWI,KCWI
Wiescheid,\N,\N
Wadi Rum,\N,\N
Beverly Municipal Airport,BVY,KBVY
Priob\'e,\N,\N
Nagaur Airport,\N,VI73
Ostafyevo International Airport,OSF,UUMO
Oakdale Airport,O27,\N
Trois-Rivières Airport,YRQ,CYRQ
Poplar Bluff Municipal Airport,POF,KPOF
Somerset Airport,\N,KSMQ
Eastport Municipal Airport,\N,KEPM
Keokuk Municipal Airport,EOK,KEOK
Banks Airport,ME5,\N
Perth/Scone Airport,PSL,EGPT
Caernarfon Airport,\N,EGCK
Grefrath-Niershorst Airport,\N,EDLF
Offenburg,\N,\N
Oberwolfach,\N,\N
Karlsruhe Hbf,\N,\N
Lichtenwalde,\N,\N
Karlsruhe,\N,\N
Holzhau,\N,\N
Porto,\N,\N
Lisboa-Oriente,\N,\N
Bad Herrenalb,\N,\N
St Paul Downtown Holman Field,STP,KSTP
Söderhamn Airport,SOO,ESNY
Newcastle Aerodrome,\N,EINC
Saravane Airport,VNA,VLSV
Lisboa-Oriente,\N,\N
Lisboa-Oriente,\N,\N
Zurich,\N,\N
Bagdad Airport,E51,\N
Segeletz Airport,\N,EDAI
Fuentemilanos Airport,\N,LEFM
Akeno Airport,\N,RJOE
Ust-Kamchatsk Airport,\N,UHPK
Oconomowoc Airport,\N,0WI8
Kozyrevsk Airport,\N,UHPO
Dikson Airport,DKS,UODD
Beverley Airport,\N,YBEE
Bogande Airport,XBG,\N
Bantry Aerodrome,BYT,EIBN
Reeroe Airport,CHE,\N
Aliwal North Airport,\N,FAAN
Alkantpan Copper Airport,\N,FACO
Alldays Airport,ADY,FAAL
Bredasdorp Airport,\N,FABR
Ocean Ridge Airport,E55,\N
Kent State Airport,1G3,\N
Butler Co Regional Airport - Hogan Field,HAO,KHAO
Bungoma Airport,\N,HKBU
Bura East Airport,\N,HKBR
Busia Airport,\N,HKBA
Embu Airport,\N,HKEM
Garba Tula Airport,\N,HKGT
Garissa Airport,GAS,HKGA
Hola Airport,HOA,HKHO
Homa Bay Airport,\N,HKHB
Isiolo Airport,\N,HKIS
Kalokol,KLK,HYFG
Kericho Airport,KEY,HKKR
Kilaguni Airport,ILU,HKKL
Kerio Valley,KRV,\N
Andavadoaka,DVD,\N
Antsirabe Airport,ATJ,FMME
Bekily Airport,OVA,FMSL
Ust-Tsylma Airport,UTS,UUYX
Atlantic City Rail Terminal,ZRA,\N
Springfield Amtrak Station,ZSF,\N
Amherst Amtrak Station AMM,XZK,\N
Cape May Ferry Terminal,\N,\N
Lewes Ferry Terminal,\N,\N
Bar Harbor Yarmouth Ferry Terminal,\N,\N
Yarmouth Ferry Terminal,\N,\N
Gare de Montreux Railway Station,\N,\N
London - Kings Cross,QQK,\N
Stevenage Railway Station,XVJ,\N
Peterborough Railway Station,XVH,\N
Pomalaa,PUM,\N
St. Ignace Ferry Dock,\N,\N
Mackinac Island Dock,\N,\N
YUR'EVETS,\N,UUIC
Whittlesford Parkway Rail Station,WLF,\N
Gorno-Altaysk Airport,RGK,UNBG
Gryzliny - Lansk,\N,EPGR
Fond du Lac County Airport,FLD,KFLD
Waupaca Municipal Airport,\N,KPCZ
Stevens Point Municipal Airport,STE,KSTE
Mys Shmidta Airport,\N,UHMI
Moma Airport,MQJ,UEMA
Luce County Airport,\N,KERY
Forest Lake Airport,25D,\N
Hannover Messe-Heliport,ZVM,\N
Peenemünde Airport,PEF,EDCP
Góraszka Airport,\N,EPGO
Nusawiru Airport,CJN,WI1A
Pom Pom Camp,\N,\N
Moremi Crossing,\N,\N
New Delhi Train Station,\N,\N
Agra Cantonment Railway Station,\N,\N
Urumqi Railway Station,\N,\N
Turpan Railway Station,\N,\N
Galion Municipal Airport,GQQ,KGQQ
Musiara Airstrip,\N,HKMZ
Tiputini Airport,TPN,SETI
Rio Amazonas Airport,PTZ,SESM
Clarksville–Montgomery County Regional Airport,CKV,KCKV
Oban Rail Station,\N,\N
Memmingen Rail Station,\N,\N
Ulm Railway Station,\N,\N
Aachen HBF,\N,\N
Liege-Guillemins Railway Station,XHN,\N
Bruxelles-Central,\N,FBCL
Wyk auf Foehr,OHR,\N
Lompoc Airport,LPC,KLPC
Chester County G O Carlson Airport,CTH,KMQS
Bost Airport,BST,OABT
Lankaran International Airport,LLK,UBBL
Gabala International Airport,GBB,UBBQ
Zaqatala International Airport,ZTU,UBBY
Lake Placid Airport,LKP,KLKP
Long Lake,NY9,\N
Typliy Klyuch Airport,KDY,UEMH
Magan Airport,GYG,UEMM
Qianjiang Wulingshan Airport,JIQ,ZUQJ
Cooma Hospital Helipad,\N,YXCM
Wishram Amtrak Station,WIH,\N
Lima Allen County Airport,AOH,KAOH
Sondok Airport,DSO,ZKSD
Samjiyon Airport,YJS,\N
Geiranger,\N,\N
Gangtok Helipad,\N,\N
Malcolm McKinnon Airport,SSI,KSSI
Beaver County Airport,BFP,KBVI
Seaplane Base,F57,\N
Georgetown County Airport,GGE,KGGE
Hardwick Field,HDI,KHDI
Mark Anton Airport,2A0,\N
Jefferson County Airpark,2G2,\N
Renton Municipal Airport,RNT,KRNT
Brackett Field,POC,KPOC
Jekyll Island Airport,09J,\N
CedarKey,CDK,KCDK
Cross City Airport,CTY,KCTY
Oconee County Regional Airport,CEU,KCEU
Heber City Municipal Airport,36U,\N
Beech Factory Airport,BEC,KBEC
Cherokee County Airport,47A,\N
Fernandina Beach Municipal Airport,55J,\N
Tabing Airport,\N,WIMG
Tom B. David Field,\N,KCZL
Habersham County Airport,\N,KAJR
Hamburg Hbf,ZMB,\N
Georgetown Municipal Airport,\N,KGTU
Old Rhinebeck Airport,\N,NY94
Duxford Aerodrome,QFO,EGSU
BLABU,\N,\N
Sidney Municipal-Lloyd W Carr Field,SNY,KSNY
Newnan Hospital Heliport,\N,GA46
Schofields Aerodrome,\N,\N
Luray Caverns Airport,\N,KLUA
Eagle's Nest Airport,W13,\N
Great Keppel Is Airport,GKL,YGKL
Roper Bar Airport,RPB,YRRB
Mount Garnet Airport,\N,YMRT
Innisfail Airport,IFL,YIFL
Kalaeloa Airport,JRF,PHJR
Bamiyan Airport,BIN,OABN
Changbaishan Airport,NBS,ZYBS
SFO Helicopter,\N,\N
Lewa Airport,\N,\N
Huaorani Ecolodge,\N,\N
Orang Airport,RGO,ZKHM
Moomba Airport,MOO,YOOM
Lublin Airport,LUZ,EPLB
Iosco County Airport,ECA,K6D9
Madison County Executive Airport-Tom Sharp Jr Field,\N,KMDQ
