id,text,unit,updated,firstPeriod,latestPeriod,active,variables
NAHC23,Husholdningers forbrug på dansk område (72 grp),Mio. kr.,2021-06-30T08:00:00,1966,2018,True,"['formål', 'prisenhed', 'tid']"
NAHC3,Husholdningers forbrug på dansk område,Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['varighed', 'prisenhed', 'tid']"
NKHC21,Husholdningers forbrug på dansk område (11 grp),Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['formål', 'prisenhed', 'sæsonkorrigering', 'tid']"
NKHC3,Husholdningers forbrug på dansk område,Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['varighed', 'prisenhed', 'sæsonkorrigering', 'tid']"
NAHC1,Forbrugsudgift,Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['forbrugsart', 'prisenhed', 'tid']"
NAHC11,Individuelt forbrugsudgift,Mio. kr.,2021-06-30T08:00:00,1995,2018,True,"['forbrugsart', 'formål', 'prisenhed', 'tid']"
NAHC12,Kollektiv forbrugsudgift,Mio. kr.,2021-06-30T08:00:00,1995,2018,True,"['forbrugsart', 'funktion', 'prisenhed', 'tid']"
NKHC1,Forbrugsudgift,Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['forbrugsart', 'prisenhed', 'sæsonkorrigering', 'tid']"
NAHK,"Akkumulations- og statuskonti, investering og beholdning af faste aktiver",Mio. kr.,2021-06-30T08:00:00,1966,2020,True,"['beholdning / strøm', 'aktiv', 'prisenhed', 'tid']"
NAHI,Bruttoinvesteringer,Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['aktiv', 'prisenhed', 'tid']"
NKHI,Bruttoinvesteringer,Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['aktiv', 'prisenhed', 'sæsonkorrigering', 'tid']"
NAHFK,"Nationalregnskabets finansielle konti, hele økonomien",Mio. kr.,2021-09-30T08:00:00,2017,2020,True,"['konto', 'balance', 'finansielt instrument', 'tid']"
NKHFK,"Nationalregnskabets finansielle konti, hele økonomien",Mio. kr.,2021-12-23T08:00:00,2017K1,2021K3,True,"['konto', 'balance', 'finansielt instrument', 'tid']"
NAHB,Beskæftigelse og befolkning,Antal,2022-02-28T08:00:00,1966,2021,True,"['socioøkonomisk status', 'tid']"
NKHB,Beskæftigelse og befolkning,Antal,2022-02-28T08:00:00,1990K1,2021K4,True,"['socioøkonomisk status', 'sæsonkorrigering', 'tid']"
NABB10,Beskæftigelse og timer (10a3-gruppering),-,2022-02-28T08:00:00,1966,2021,True,"['socioøkonomisk status', 'branche', 'tid']"
VNABB10,Versionstabel NABB10 Beskæftigelse og timer (10a3-gruppering),-,2022-03-01T08:00:00,1966,2021,True,"['version', 'socioøkonomisk status', 'branche', 'tid']"
NABB19,Beskæftigelse og timer (19a2-gruppering),-,2021-06-30T08:00:00,1966,2020,True,"['socioøkonomisk status', 'branche', 'tid']"
NABB36,Beskæftigelse og timer (36a2-gruppering),-,2021-06-30T08:00:00,1966,2020,True,"['socioøkonomisk status', 'branche', 'tid']"
NABB69,Beskæftigelse og timer (69-gruppering),-,2021-06-30T08:00:00,1966,2020,True,"['socioøkonomisk status', 'branche', 'tid']"
NABB117,Beskæftigelse og timer (117-gruppering),-,2021-06-30T08:00:00,1966,2018,True,"['socioøkonomisk status', 'branche', 'tid']"
NKBB10,Beskæftigelse og timer (10a3-gruppering),-,2022-02-28T08:00:00,1990K1,2021K4,True,"['socioøkonomisk status', 'branche', 'sæsonkorrigering', 'tid']"
NABK10,"Akkumulations- og statuskonti, investering og beholdning af faste aktiver (10a3-gruppering)",Mio. kr.,2021-06-30T08:00:00,1966,2020,True,"['beholdning / strøm', 'aktiv', 'branche', 'prisenhed', 'tid']"
NABK19,"Akkumulations- og statuskonti, investering og beholdning af faste aktiver (19a2-gruppering)",Mio. kr.,2021-06-30T08:00:00,1966,2020,True,"['beholdning / strøm', 'aktiv', 'branche', 'prisenhed', 'tid']"
NABK36,"Akkumulations- og statuskonti, investering og beholdning af faste aktiver (36a2-gruppering)",Mio. kr.,2021-06-30T08:00:00,1966,2020,True,"['beholdning / strøm', 'aktiv', 'branche', 'prisenhed', 'tid']"
NABK69,"Akkumulations- og statuskonti, investering og beholdning af faste aktiver (69-gruppering)",Mio. kr.,2021-06-30T08:00:00,1966,2020,True,"['beholdning / strøm', 'aktiv', 'branche', 'prisenhed', 'tid']"
NABP10,"1-2.1.1 Produktion, BVT og indkomstdannelse (10a3-gruppering)",Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'branche', 'prisenhed', 'tid']"
VNABP10,"Versionstabel NABP10 Produktion, BVT og indkomstdannelse (10a3-gruppering)",Mio. kr.,2022-03-01T08:00:00,1966,2021,True,"['version', 'transaktion', 'branche', 'prisenhed', 'tid']"
NKBP10,"1-2.1.1 Produktion, BVT og indkomstdannelse (10a3-gruppering)",Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'branche', 'prisenhed', 'sæsonkorrigering', 'tid']"
NABP19,"1-2.1.1 Produktion, BVT og indkomstdannelse (19a2-gruppering)",Mio. kr.,2021-09-30T08:00:00,1966,2020,True,"['transaktion', 'branche', 'prisenhed', 'tid']"
NABP36,"1-2.1.1 Produktion, BVT og indkomstdannelse (36a2-gruppering)",Mio. kr.,2021-06-30T08:00:00,1966,2019,True,"['transaktion', 'branche', 'prisenhed', 'tid']"
NABP69,"1-2.1.1 Produktion, BVT og indkomstdannelse (69-gruppering)",Mio. kr.,2021-06-30T08:00:00,1966,2019,True,"['transaktion', 'branche', 'prisenhed', 'tid']"
NABP117,"1-2.1.1 Produktion, BVT og indkomstdannelse (117-gruppering)",Mio. kr.,2021-06-30T08:00:00,1966,2018,True,"['transaktion', 'branche', 'prisenhed', 'tid']"
NABPDIV,"1-2.1.1 Produktion, BVT og indkomstdannelse (10a3-gruppering)",Mio. kr.,2022-02-28T08:00:00,1966,2021,True,"['transaktion', 'branche', 'prisenhed', 'tid']"
NKBPDIV,"1-2.1.1 Produktion, BVT og indkomstdannelse (10a3-gruppering)",Mio. kr.,2022-02-28T08:00:00,1990K1,2021K4,True,"['transaktion', 'branche', 'prisenhed', 'sæsonkorrigering', 'tid']"
NASL1,"1-2.1.1 Produktion, BVT og indkomstdannelse (hovedposter)",Mio. kr.,2021-09-30T08:00:00,1971,2020,True,"['transaktion', 'sektor', 'tid']"
NASL2,"2.1.2-3.1 Indkomst, forbrug, opsparing og investering (hovedposter)",Mio. kr.,2021-09-30T08:00:00,1971,2020,True,"['transaktion', 'sektor', 'tid']"
NKSO1,"1-2.1.1 Produktion, BVT og indkomstdannelse (oversigtstabel)",Mio. kr.,2021-12-23T08:00:00,1999K1,2021K3,True,"['transaktion', 'sektor', 'tid']"
NKSO2,"2.1.2-3.1 Indkomst,forbrug, opsparing og investering (oversigtstabel)",Mio. kr.,2021-12-23T08:00:00,1999K1,2021K3,True,"['transaktion', 'sektor', 'tid']"
NKS3,2.3 + 2.4.2 Korrigeret disponibel indkomst og faktisk forbrug (supplerende tabel),Mio. kr.,2021-12-23T08:00:00,1999K1,2021K3,True,"['transaktion', 'sektor', 'tid']"
NASO1,"1-2.1.1 Produktion, BVT og indkomstdannelse (oversigtstabel)",Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
VNASO1,"Versionstabel NASO1 - Produktion, BVT og indkomstdannelse (oversigtstabel)",Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['version', 'transaktion', 'sektor', 'tid']"
NASO2,"2.1.2-3.1 Indkomst, forbrug, opsparing og investering (oversigtstabel)",Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
VNASO2,"Versionstabel NASO2 - 2.1.2-3.1 Indkomst, forbrug, opsparing og investering (oversigtstabel)",Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['version', 'transaktion', 'sektor', 'tid']"
NASD11,1 Produktion og BVT (detaljeret),Mio. kr.,2021-06-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
NASD12,2.1.1 Indkomstdannelse (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
NASD21,2.1.2 Allokering af primær indkomst (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
NASD22,"2.2 Fordeling af 
sekundær indkomst (detaljeret)",Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
NASD23,2.4.1 Anvendelse (forbrug og opsparing) af disponibel indkomst (detaljeret),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
NASD24,"3.1 Kapital, investering mv. (detaljeret)",Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
NAS3,2.3 + 2.4.2 Korrigeret disponibel indkomst og faktisk forbrug (supplerende tabel),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['transaktion', 'sektor', 'tid']"
VNAS3,Versionstabel NAS3 - 2.3 + 2.4.2 Korrigeret disponibel indkomst og faktisk forbrug (supplerende tabel),Mio. kr.,2021-09-30T08:00:00,1995,2020,True,"['version', 'transaktion', 'sektor', 'tid']"
NASK,"Akkumulations- og statuskonti, investering og beholdning af faste aktiver,",Mio. kr.,2021-06-30T08:00:00,1995,2020,True,"['beholdning / strøm', 'aktiv', 'sektor', 'tid']"
NASFK,Nationalregnskabets finansielle konti,Mio. kr.,2021-09-30T08:00:00,2017,2020,True,"['sektor', 'konto', 'balance', 'finansielt instrument', 'modpartssektor', 'tid']"
VNASFK,Versionstabel NASFK - Nationalregnskabets finansielle konti,Mio. kr.,2021-09-30T08:00:00,2017,2020,True,"['version', 'sektor', 'konto', 'balance', 'finansielt instrument', 'modpartssektor', 'tid']"
NKSFK,Nationalregnskabets finansielle konti,Mio. kr.,2021-12-23T08:00:00,2017K1,2021K3,True,"['sektor', 'konto', 'balance', 'finansielt instrument', 'modpartssektor', 'tid']"
VNKSFK,Versionstabel NKSFK - Nationalregnskabets finansielle konti,Mio. kr.,2021-12-23T08:00:00,2017K1,2021K3,True,"['version', 'sektor', 'konto', 'balance', 'finansielt instrument', 'modpartssektor', 'tid']"
NRHP,"1-2.1.1 Produktion, BNP og indkomstdannelse",-,2021-10-28T08:00:00,1993,2020,True,"['område', 'transaktion', 'prisenhed', 'tid']"
NRHB,Befolkning,Antal,2021-10-28T08:00:00,1993,2020,True,"['område', 'socioøkonomisk status', 'tid']"
